학년,번호,도서명,저자,카테고리,만화여부,태그,추천이유
4학년,18,말괄량이 기관차 치치,버지니아 리 버튼,문학,,"모험,성장",작은 기관차가 큰 기관차처럼 달리고 싶어하는 이야기예요.
4학년,19,비밀 일기장,박효미,문학,,"학교,성장",4학년의 비밀스러운 고민과 성장을 일기 형식으로 풀어냈어요.
4학년,20,마법사의 조카,C.S. 루이스,문학,,"판타지,창조",나니아 세계가 처음 만들어지는 이야기. 나니아 연대기의 시작이에요.
4학년,21,내 친구 어디 있니,김향이,문학,,"우정,학교",전학 온 친구와의 우정을 그린 따뜻한 학교 이야기예요.
4학년,22,이상한 과자 가게 전천당 3,히로시마 레이코,문학,,"판타지,선택",전천당의 새로운 마법 과자들! 소원을 이루는 건 쉽지 않아요.
4학년,23,끝없는 이야기,미하엘 엔데,문학,,"판타지,상상력",책 속 세계 판타지엔으로 빠져드는 대서사시! 상상력의 힘을 느껴요.
4학년,24,하울의 움직이는 성,다이애나 윈 존스,문학,,"판타지,마법",마법사 하울의 움직이는 성에서 벌어지는 마법 가득한 모험이에요.
4학년,25,고양이 해결사 깜냥 2,홍민정,문학,,"모험,추리",깜냥의 새로운 사건! 이번에는 더 큰 미스터리가 기다려요.
4학년,26,스파이더위크 가문의 비밀,토니 디테를리지,문학,,"판타지,모험",요정 도감을 발견한 남매의 신비로운 판타지 모험이에요.
4학년,27,테라비시아로 가는 다리,캐서린 패터슨,문학,,"우정,상상력",둘만의 비밀 왕국 테라비시아에서의 우정과 성장 이야기. 뉴베리 수상작이에요.
4학년,28,캡틴 언더팬츠 2,데이브 필키,문학,O,"유머,모험",캡틴 언더팬츠의 새로운 모험! 웃음이 멈추지 않아요.
4학년,29,수상한 편의점,박현숙,문학,,"미스터리,일상",편의점에서 벌어지는 수상한 사건을 해결하는 미스터리예요.
4학년,30,이상한 과자 가게 전천당 4,히로시마 레이코,문학,,"판타지,교훈",마법 과자의 힘을 어떻게 쓰느냐에 따라 결과가 달라져요.
4학년,1,WHY? 인공지능,예림당,비문학,O,"AI,기술",인공지능의 원리와 미래를 만화로 쉽게 알려줘요.
4학년,2,WHY? 유전과 혈액,예림당,비문학,O,"유전,과학",유전과 혈액의 비밀을 만화로 재미있게 배워요.
4학년,3,WHY? 뇌,예림당,비문학,O,"뇌,과학",우리 뇌가 어떻게 작동하는지 만화로 알려줘요.
4학년,4,살아남기 시리즈: 화산에서 살아남기,코믹컴,비문학,O,"화산,과학",화산 폭발의 과학과 생존법을 만화로 배워요.
4학년,5,살아남기 시리즈: 지진에서 살아남기,코믹컴,비문학,O,"지진,과학",지진이 왜 일어나고 어떻게 대비하는지 만화로 배워요.
4학년,6,살아남기 시리즈: 남극에서 살아남기,코믹컴,비문학,O,"남극,과학",남극의 극한 환경과 과학 지식을 만화로 배워요.
4학년,7,과학실험왕 3: 빛의 대결,스토리 a.,비문학,O,"빛,과학","빛의 성질과 반사, 굴절을 실험 대결로 배워요."
4학년,8,과학실험왕 5: 전기의 대결,스토리 a.,비문학,O,"전기,과학",전기의 원리를 실험 배틀 만화로 재미있게 배워요.
4학년,9,수학도둑 3,송도수,비문학,O,"수학,논리",분수와 소수를 모험 만화로 재미있게 배워요.
4학년,10,설민석의 한국사 대모험 3,설민석,비문학,O,"한국사,역사",고려 시대의 역사를 만화 모험으로 신나게 배워요.
4학년,11,설민석의 한국사 대모험 4,설민석,비문학,O,"한국사,역사",조선 시대의 역사를 만화 모험으로 재미있게 배워요.
4학년,12,그리스 로마 신화 1,박시연,비문학,O,"신화,문화",그리스 로마 신화를 만화로 재미있게 만나볼 수 있어요.
4학년,13,그리스 로마 신화 2,박시연,비문학,O,"신화,문화",올림포스 신들의 이야기를 만화로 흥미진진하게 배워요.
4학년,14,지도 밖으로 행군하라,한비야,비문학,,"여행,도전",세계 곳곳을 누빈 한비야의 도전과 여행 이야기예요.
4학년,15,한국을 빛낸 100명의 위인들,편집부,비문학,,"인물,역사",한국 역사 속 위인들의 이야기를 한 권에 만나봐요.
4학년,16,자연관찰 도감,윤주복,비문학,,"자연,관찰",주변 자연을 관찰하고 기록하는 방법을 알려줘요.
4학년,17,아이스크림 한 입의 경제학,남윤지,비문학,,"경제,생활",아이스크림으로 시작하는 재미있는 경제 이야기예요.
4학년,18,용선생의 시끌벅적 한국사 1,사회평론,비문학,,"한국사,역사",한국사를 캐릭터와 재미있는 스토리로 풀어줘요.
4학년,19,용선생의 시끌벅적 한국사 2,사회평론,비문학,,"한국사,역사",삼국시대의 역사를 재미있는 이야기로 배워요.
4학년,20,어린이를 위한 독도 이야기,한국영토학회,비문학,,"독도,역사",우리 땅 독도의 역사와 중요성을 쉽게 알려줘요.
4학년,21,세계 문화유산 여행,유네스코한국위원회,비문학,,"문화,세계",세계의 소중한 문화유산을 사진과 함께 둘러봐요.
4학년,22,코딩 첫걸음,DK출판사,비문학,,"코딩,기술",코딩의 기초 개념을 그림과 함께 쉽게 배워요.
4학년,23,내일은 발명왕 3,곰돌이 co.,비문학,O,"발명,과학",생활 속 발명 아이디어를 만화로 재미있게 알려줘요.
4학년,24,어린이 과학 형사대 CSI 1,고희정,비문학,O,"과학,추리",과학 수사로 사건을 해결하는 추리 만화예요.
4학년,25,초등학생을 위한 요리 과학,과학동아,비문학,,"요리,과학",요리 속에 숨은 과학 원리를 실험하며 배워요.
4학년,26,어린이 경제 신문,한국경제교육학회,비문학,,"경제,시사",어린이 눈높이로 경제 뉴스와 상식을 전해줘요.
4학년,27,나도 유튜버가 될 수 있을까,김세중,비문학,,"미디어,직업",유튜버의 세계와 미디어 리터러시를 알려줘요.
4학년,28,4학년을 위한 교과서 속 과학,아이세움,비문학,,"과학,교과서",교과서에 나오는 과학 개념을 쉽게 풀어줘요.
4학년,29,"기후 변화, 쉽게 알려줘!",이은희,비문학,,"기후,환경",기후 변화가 왜 일어나고 무엇을 할 수 있는지 알려줘요.
4학년,30,세계 지리 한 바퀴,하이라이트,비문학,,"지리,세계",세계 여러 나라의 지리와 문화를 한 바퀴 둘러봐요.
5학년,1,"안녕, 우주",에린 엔트라다 켈리,문학,,"우정,용기",네 아이의 서로 다른 마음이 우연처럼 이어지는 이야기. 다름을 이해하고 용기를 내는 법을 보여주는 뉴베리상 수상작이에요.
5학년,2,원더,R.J. 팔라시오,문학,,"다양성,용기",얼굴이 남다른 어기의 학교생활. 마음으로 사람을 보는 법을 배워요.
5학년,3,해리 포터와 마법사의 돌,J.K. 롤링,문학,,"판타지,우정",마법 세계 호그와트의 모험! 우정과 용기의 가치를 배워요.
5학년,4,퍼시 잭슨과 번개 도둑,릭 라이어던,문학,,"신화,모험",그리스 신화를 현대적으로 재해석한 흥미진진한 모험이에요.
5학년,5,위풍당당 여우 꼬리,손원평,문학,,"정체성,학교",비밀을 가진 전학생의 학교생활. 정체성에 대해 고민하게 해요.
5학년,6,아몬드,손원평,문학,,"감정,성장",감정을 느끼지 못하는 소년이 감정을 배워가는 감동적인 이야기예요.
5학년,7,몬스터 콜스,패트릭 네스,문학,,"감정,치유",괴물이 들려주는 세 가지 이야기. 슬픔을 마주하는 용기를 줘요.
5학년,8,구해줘 카카오,배유안,문학,,"환경,동물",야생동물 보호를 다룬 이야기. 동물권에 대해 생각하게 해요.
5학년,9,시간의 주름,매들렌 렝글,문학,,"SF,가족",시공간을 넘나드는 가족 구출 대모험! 뉴베리 수상작이에요.
5학년,10,수상한 도서관,박현숙,문학,,"미스터리,학교",학교 도서관에서 벌어지는 미스터리! 추리의 재미를 느껴요.
5학년,11,빨강 연필,신수현,문학,,"성장,정직",무엇이든 술술 써지는 신비한 빨간 연필을 갖게 된 민호가 비밀과 거짓말 사이에서 고민하며 성장하는 이야기예요.
5학년,12,어린 사자의 시간,김유정,문학,,"성장,사춘기",사춘기 5학년의 복잡한 마음을 섬세하게 그린 이야기예요.
5학년,13,나니아 연대기: 캐스피언 왕자,C.S. 루이스,문학,,"판타지,모험",나니아에 돌아온 아이들의 새로운 모험이 시작돼요.
5학년,14,비밀의 숲,전성현,문학,,"미스터리,환경",숲에서 벌어지는 미스터리와 자연 보호의 메시지를 담았어요.
5학년,15,달빛 마신 소녀,켈리 반힐,문학,,"판타지,마법",뉴베리상 수상작! 마법의 힘을 가진 소녀의 성장 이야기예요.
5학년,16,마당을 나온 암탉 2: 돌아온 잎싹,황선미,문학,,"성장,가족",잎싹의 아들 초록이의 이야기. 성장과 독립을 그려요.
5학년,17,날아라 고무신 연작,문선이,문학,,"우정,학교",5학년 아이들의 학교생활과 우정을 현실감 있게 그렸어요.
5학년,18,"봉주르, 뚜르",한윤섭,문학,,"성장,변화",프랑스로 이사 간 소년 봉주가 낯선 환경에 적응하며 성장하는 이야기예요.
5학년,19,어느 날 우리 반에 공룡이 전학 왔다,박현숙,문학,,"학교,유머",교실에 공룡이 나타난다면? 재미있고 따뜻한 학교 이야기예요.
5학년,20,보이지 않는 아이,토베 얀손,문학,,"자존감,감정",투명해진 아이가 자기 모습을 되찾는 무민 이야기예요.
5학년,21,"열세 살, 진짜 내 마음",이금이,문학,,"성장,감정",사춘기를 겪는 아이의 진짜 마음을 섬세하게 표현했어요.
5학년,22,내 이름은 망고,메가 메디나,문학,,"가족,다문화",다문화 가정 소녀의 성장 이야기. 정체성과 가족 사랑을 그려요.
5학년,23,까막눈 삼디기,원유순,문학,,"우정,성장",글을 읽지 못하는 삼디기와 친구들의 이야기를 통해 편견을 넘어선 진짜 우정과 이해의 의미를 배우는 이야기예요.
5학년,24,해리 포터와 비밀의 방,J.K. 롤링,문학,,"판타지,모험",호그와트의 비밀 통로가 열리고 새로운 위험이 시작돼요.
5학년,25,미스 페레그린과 이상한 아이들의 집,랜섬 릭스,문학,,"판타지,미스터리",시간이 멈춘 섬에서 특별한 능력을 가진 아이들을 만나요.
5학년,26,수상한 전학생,박현숙,문학,,"미스터리,학교",전학 온 수상한 아이의 비밀을 파헤치는 미스터리 이야기예요.
5학년,27,이상한 과자 가게 전천당 5,히로시마 레이코,문학,,"판타지,선택",전천당의 마법 과자가 가져다주는 예상치 못한 결과!
5학년,28,조지의 우주를 여는 비밀 열쇠,루시 호킹,문학,,"SF,우주",호킹 박사의 딸이 쓴 우주 모험! 과학과 모험이 함께해요.
5학년,29,아르테미스 파울,오언 콜퍼,문학,,"판타지,모험",천재 소년 범죄자와 요정 세계의 대결! 스릴 넘치는 판타지예요.
5학년,30,고양이 해결사 깜냥 3,홍민정,문학,,"모험,추리",깜냥이 더 큰 사건에 도전해요! 추리의 재미가 커져요.
5학년,1,설민석의 한국사 대모험 5,설민석,비문학,O,"한국사,역사",조선 후기의 역사를 만화 모험으로 재미있게 배워요.
5학년,2,설민석의 한국사 대모험 6,설민석,비문학,O,"한국사,역사",근대 한국사를 만화 모험으로 흥미진진하게 배워요.
5학년,3,과학실험왕 7: 인체의 대결,스토리 a.,비문학,O,"과학,인체",인체의 신비를 실험 대결 만화로 재미있게 배워요.
5학년,4,과학실험왕 9: 날씨의 대결,스토리 a.,비문학,O,"과학,날씨",날씨와 기후의 원리를 실험 대결 만화로 배워요.
5학년,5,수학도둑 5,송도수,비문학,O,"수학,논리",확률과 통계를 도둑 잡기 모험 만화로 재미있게 익혀요.
5학년,6,살아남기 시리즈: 태풍에서 살아남기,코믹컴,비문학,O,"과학,재난",태풍의 과학과 재난 대비법을 만화로 배울 수 있어요.
5학년,7,살아남기 시리즈: 아마존에서 살아남기,코믹컴,비문학,O,"과학,탐험",아마존 열대우림의 생태와 생존법을 만화로 배워요.
5학년,8,WHY? 화석,예림당,비문학,O,"과학,지구",화석이 만들어지는 원리와 고대 생물의 흔적을 만화로 쉽게 알려줘요.
5학년,9,어린이 과학 형사대 CSI 5,고희정,비문학,O,"과학,추리",과학 수사 기법을 추리 만화로 재미있게 배워요.
5학년,10,그리스 로마 신화 3: 새로운 신들의 탄생,박시연,비문학,O,"인문,신화",서양 문화의 뿌리인 그리스 로마 신화를 만화로 만나요.
5학년,11,흔한남매 과학탐험대 1: 우주,흔한남매 원작,비문학,O,"과학,우주",인기 크리에이터와 함께 우주 과학을 재미있게 탐험해요.
5학년,12,내일은 실험왕 1,곰돌이 co.,비문학,O,"과학,실험",직접 따라 할 수 있는 과학 실험을 만화로 배워요.
5학년,13,브리태니커 만화 백과: 날씨,봄봄스토리,비문학,O,"과학,날씨",세계적 백과사전의 날씨 지식을 만화로 쉽게 풀어냈어요.
5학년,14,놓지 마 과학! 1,신태훈,비문학,O,"과학,유머",웃기면서도 정확한 과학 지식을 만화로 전달해 줘요.
5학년,15,Who? 아인슈타인,스튜디오 청비,비문학,O,"인물,과학",20세기 최고의 과학자 아인슈타인의 삶을 만화로 만나요.
5학년,16,Who? 세종대왕,스튜디오 청비,비문학,O,"인물,한국사",한글을 만든 세종대왕의 위대한 업적을 만화로 배워요.
5학년,17,한국사 보물찾기 1,코믹컴,비문학,O,"한국사,모험",보물을 찾으며 한국사를 자연스럽게 익힐 수 있어요.
5학년,18,내일은 발명왕 4,곰돌이 co.,비문학,O,"과학,발명",발명 대회에 도전하는 두 학교 이야기 속에서 다양한 발명 기법을 배워요.
5학년,19,쿠키런 어드벤처: 서울,서울문화사,비문학,O,"사회,지리",쿠키 캐릭터와 함께 서울의 역사와 문화를 탐험해요.
5학년,20,마법천자문 20,김현수,비문학,O,"한자,국어",손오공의 한자 대탐험 시리즈! 고학년 수준의 한자를 마법 배틀로 재미있게 배워요.
5학년,21,용선생의 시끌벅적 한국사 3,사회평론,비문학,,"한국사,삽화",풍부한 삽화와 함께 고려 시대 역사를 재미있게 배워요.
5학년,22,용선생의 시끌벅적 한국사 4,사회평론,비문학,,"한국사,삽화",조선 건국의 역사를 삽화와 함께 생생하게 만나요.
5학년,23,미래가 온다: 로봇,"김성화, 권수진",비문학,,"과학,기술",로봇 기술의 현재와 미래를 풍부한 삽화로 알려줘요.
5학년,24,미래가 온다: 인공지능,"김성화, 권수진",비문학,,"과학,기술",인공지능의 원리를 어린이 눈높이 삽화로 쉽게 설명해요.
5학년,25,최강왕 곤충 배틀,학연플러스,비문학,,"과학,곤충",곤충들의 능력을 비교하는 배틀 형식의 삽화 도감이에요.
5학년,26,최강왕 공룡 배틀,학연플러스,비문학,,"과학,공룡",공룡들의 특징과 전투력을 비교하는 삽화 도감이에요.
5학년,27,별난 과학 교실,서지원,비문학,,"과학,실험",일상 속 과학 원리를 재미있는 삽화와 함께 알려줘요.
5학년,28,지구의 미래를 부탁해,조엘 하퍼,비문학,,"환경,지구",환경 문제를 풍부한 삽화로 어린이 눈높이에서 설명해요.
5학년,29,슬기로운 미디어 생활,금준경,비문학,,"사회,미디어",미디어 리터러시를 삽화와 함께 쉽게 배울 수 있어요.
5학년,30,어린이를 위한 세계 인권 선언,국제앰네스티,비문학,,"사회,인권",인권의 의미를 아름다운 삽화와 함께 쉽게 알려줘요.
6학년,1,모모,미하엘 엔데,문학,,"시간,철학",시간 도둑에게서 시간을 되찾는 모모의 이야기예요.
6학년,2,트리갭의 샘물,나탈리 배비트,문학,,"판타지,성장",영원히 늙지 않는 샘물을 둘러싼 가족의 비밀. 영원한 삶의 의미를 생각하게 하는 판타지 고전이에요.
6학년,3,어른이 되면,이금이,문학,,"성장,미래",어른이 된다는 것의 의미를 고민하는 졸업 앞둔 6학년 이야기예요.
6학년,4,은하철도의 밤,미야자와 겐지,문학,,"판타지,우정",고독한 소년 조반니가 은하철도를 타고 떠나는 신비로운 여행. 우정과 삶의 의미를 아름답게 그린 일본 판타지 문학의 고전이에요.
6학년,5,수학 귀신,한스 마그누스 엔첸스베르거,문학,,"수학,판타지",수학 싫어하는 소년의 꿈에 나타나는 수학 귀신의 이야기예요.
6학년,6,열세 살의 여름,이금이,문학,,"성장,우정",열세 살 여름의 특별한 경험을 그린 성장 소설이에요.
6학년,7,꼭 한 번은 빌려 드립니다,남유하,문학,,"판타지,성장",신비한 가게에서 빌리는 것들을 통해 성장하는 이야기예요.
6학년,8,수일이와 수일이,김우경,문학,,"판타지,정체성",자기와 똑같은 아이를 만난 소년의 정체성 탐구 이야기예요.
6학년,9,투명 인간의 고백,김초엽,문학,,"SF,소통",투명인간이 되면 행복할까? 소통의 의미를 생각하게 해요.
6학년,10,구덩이,루이스 새커,문학,,"모험,성장",사막 소년원에 갇힌 소년이 구덩이를 파며 밝혀내는 가족의 비밀! 뉴베리상 수상작이에요.
6학년,11,전학 와서 생긴 일,문선이,문학,,"학교,우정",6학년 전학생의 학교 적응과 우정을 현실감 있게 그렸어요.
6학년,12,해리 포터와 아즈카반의 죄수,J.K. 롤링,문학,,"판타지,모험",시간여행과 새로운 진실! 해리 포터 시리즈의 전환점이에요.
6학년,13,퍼시 잭슨과 괴물의 바다,릭 라이어던,문학,,"신화,모험",괴물의 바다에서 친구를 구하는 퍼시의 두 번째 모험이에요.
6학년,14,기버: 기억 전달자,로이스 로리,문학,,"SF,사회",완벽해 보이는 사회의 비밀을 파헤치는 뉴베리 수상작이에요.
6학년,15,미스터리 베네딕트 소사이어티,트렌턴 리 스튜어트,문학,,"추리,모험",특별한 아이들이 모여 비밀 임무를 수행하는 추리 모험이에요.
6학년,16,고양이 전사들: 야생으로,에린 헌터,문학,,"판타지,모험",집고양이가 야생 고양이 부족의 전사가 되는 장대한 모험이에요.
6학년,17,갈매기에게 나는 법을 가르쳐준 고양이,루이스 세풀베다,문학,,"성장,사랑",아기 갈매기를 키우는 고양이의 약속과 사랑 이야기예요.
6학년,18,클로디아의 비밀,E.L. 커닝스버그,문학,,"모험,예술",메트로폴리탄 미술관에 숨어 사는 남매의 비밀 모험! 뉴베리 수상작이에요.
6학년,19,초정리 편지,배유안,문학,,"역사,성장",조선 시대로 편지가 이어지는 시간을 넘은 우정 이야기예요.
6학년,20,이상한 과자 가게 전천당 7,히로시마 레이코,문학,,"판타지,선택",전천당의 마법 과자들이 가져오는 새로운 이야기!
6학년,21,윔피키드 2: 로드릭의 법칙,제프 키니,문학,O,"학교,유머",그레그와 형 로드릭의 좌충우돌 일상! 웃음이 멈추지 않아요.
6학년,22,수상한 선생님,박현숙,문학,,"미스터리,학교",새로 온 선생님의 수상한 비밀을 추리하는 이야기예요.
6학년,23,캡틴 언더팬츠 3,데이브 필키,문학,O,"유머,모험",캡틴 언더팬츠의 새로운 모험! 유머와 액션이 넘쳐요.
6학년,24,괴물 길들이기,크레시다 코웰,문학,,"판타지,용기",바이킹 소년 히컵이 용을 길들이며 성장하는 모험이에요.
6학년,25,고양이 해결사 깜냥 4,홍민정,문학,,"모험,추리",깜냥의 가장 큰 사건! 더욱 커진 미스터리와 모험이에요.
6학년,26,이상한 과자 가게 전천당 8,히로시마 레이코,문학,,"판타지,교훈",마법 과자를 통해 인생의 교훈을 재미있게 전해줘요.
6학년,27,너도 하늘말나리야,이금이,문학,,"성장,가족",가족의 의미와 성장의 아픔을 섬세하게 그린 이금이의 동화예요.
6학년,28,방과 후 초능력 클럽 2,김리리,문학,,"판타지,학교",초능력 클럽의 새로운 모험! 더 강력한 힘과 더 큰 비밀이 기다려요.
6학년,29,아르테미스 파울 2: 북극 사건,오언 콜퍼,문학,,"판타지,모험",천재 소년과 요정의 새로운 대결! 북극에서 벌어지는 모험이에요.
6학년,30,수상한 동물원,박현숙,문학,,"미스터리,동물",동물원에서 벌어지는 수상한 사건의 비밀을 파헤쳐요.
6학년,1,설민석의 한국사 대모험 7,설민석,비문학,O,"한국사,역사",광복과 대한민국 건국의 역사를 만화로 배워요.
6학년,2,설민석의 한국사 대모험 8,설민석,비문학,O,"한국사,역사",현대 한국사의 주요 사건을 만화로 쉽게 이해해요.
6학년,3,과학실험왕 11: 물의 대결,스토리 a.,비문학,O,"과학,화학",물의 성질과 화학 반응을 실험 대결 만화로 배워요.
6학년,4,과학실험왕 15: 지구의 대결,스토리 a.,비문학,O,"과학,지구",지구과학의 핵심 개념을 대결 만화로 쉽게 익혀요.
6학년,5,수학도둑 7,송도수,비문학,O,"수학,논리",방정식과 함수를 도둑 잡기 모험 만화로 재미있게 배워요.
6학년,6,살아남기 시리즈: 히말라야에서 살아남기,코믹컴,비문학,O,"과학,탐험",극한 환경에서의 생존 과학을 만화로 배울 수 있어요.
6학년,7,살아남기 시리즈: 우주에서 살아남기,코믹컴,비문학,O,"과학,우주",우주 환경과 생존 기술을 만화로 재미있게 알려줘요.
6학년,8,WHY? 반도체,예림당,비문학,O,"과학,기술",반도체의 원리와 중요성을 만화로 쉽게 이해할 수 있어요.
6학년,9,어린이 과학 형사대 CSI 10,고희정,비문학,O,"과학,추리",과학 수사의 고급 기법을 만화 추리로 재미있게 배워요.
6학년,10,세상에서 가장 재미있는 세계사,래리 고닉,비문학,O,"세계사,역사",세계 역사의 흐름을 유머러스한 만화로 한눈에 보여줘요.
6학년,11,그리스 로마 신화 4: 올림포스 십이 신,박시연,비문학,O,"인문,신화",올림포스 신들의 이야기를 만화로 생생하게 만나요.
6학년,12,흔한남매 과학탐험대 3: 인체,흔한남매 원작,비문학,O,"과학,인체",우리 몸의 신비를 흔한남매와 함께 재미있게 탐험해요.
6학년,13,내일은 실험왕 5,곰돌이 co.,비문학,O,"과학,실험",과학 실험 대회 이야기로 실험 원리를 만화로 배워요.
6학년,14,브리태니커 만화 백과: 우주,봄봄스토리,비문학,O,"과학,우주",우주에 대한 백과사전 지식을 만화로 쉽게 익혀요.
6학년,15,놓지 마 과학! 5,신태훈,비문학,O,"과학,유머",웃음 속에 숨겨진 과학 지식을 만화로 재미있게 배워요.
6학년,16,Who? 마리 퀴리,스튜디오 청비,비문학,O,"인물,과학",방사능을 발견한 마리 퀴리의 삶을 만화로 만나요.
6학년,17,Who? 안중근,스튜디오 청비,비문학,O,"인물,한국사",독립운동가 안중근 의사의 삶을 만화로 배워요.
6학년,18,세계사 보물찾기 1,코믹컴,비문학,O,"세계사,모험",세계 곳곳의 보물을 찾으며 세계사를 자연스럽게 익혀요.
6학년,19,내일은 발명왕 5,곰돌이 co.,비문학,O,"과학,발명",창의적 발명의 세계를 만화로 신나게 탐험해요.
6학년,20,쿠키런 어드벤처: 도쿄,서울문화사,비문학,O,"사회,지리",쿠키 캐릭터와 함께 도쿄의 문화와 역사를 탐험해요.
6학년,21,용선생의 시끌벅적 한국사 5,사회평론,비문학,,"한국사,삽화",근현대 한국사를 풍부한 삽화와 함께 생생하게 배워요.
6학년,22,용선생의 시끌벅적 세계사 1,사회평론,비문학,,"세계사,삽화",세계사의 큰 흐름을 삽화와 함께 쉽게 이해할 수 있어요.
6학년,23,미래가 온다: 바이러스,"김성화, 권수진",비문학,,"과학,생물",바이러스의 세계를 풍부한 삽화와 함께 알기 쉽게 설명해요.
6학년,24,미래가 온다: 유전공학,"김성화, 권수진",비문학,,"과학,생물",유전공학의 원리와 미래를 삽화로 쉽게 풀어냈어요.
6학년,25,최강왕 위험 생물 배틀,학연플러스,비문학,,"과학,생물",위험 생물들의 능력을 비교하는 삽화 배틀 도감이에요.
6학년,26,최강왕 동물 배틀,학연플러스,비문학,,"과학,동물",동물들의 전투 능력을 비교하는 재미있는 삽화 도감이에요.
6학년,27,DK 인포그래픽 과학사전,DK출판사,비문학,,"과학,지식",과학 지식을 한눈에 보여주는 인포그래픽 삽화 사전이에요.
6학년,28,DK 코딩 첫걸음,DK출판사,비문학,,"코딩,기술",프로그래밍의 기초를 풍부한 삽화와 함께 쉽게 배워요.
6학년,29,"선거, 어렵지 않아요",안미란,비문학,,"사회,정치",선거와 민주주의를 삽화와 함께 쉽고 재미있게 알려줘요.
6학년,30,별난 세계사 교실,서지원,비문학,,"세계사,문화",세계 역사의 흥미로운 사건들을 삽화와 함께 풀어냈어요.
